id,us_votes,non_us_votes,us_rating,non_us_rating,title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0069049,"
1,550
","
2,927
",6.9,6.6,L'altra faccia del vento,2018,Drama,122,"France, Iran, USA","English, German",Orson Welles,"Orson Welles, Oja Kodar",Royal Road Entertainment,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg, Norman Foster, Robert Random, Lilli Palmer, Edmond O'Brien, Mercedes McCambridge, Cameron Mitchell, Paul Stewart, Gregory Sierra, Tonio Selwart, Dan Tobin, John Carroll",6.8,5887,NA,NA,NA,78,81,98
tt0337926,"
17
","
370
",6.3,5.9,Chatô: O Rei do Brasil,2015,"Biography, Drama",102,Brazil,Portuguese,Guilherme Fontes,"João Emanuel Carneiro, Guilherme Fontes",Estudios Quanta,"Marco Ricca, Andrea Beltrão, Paulo Betti, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Eliane Giardini, Zezé Polessa, Marcos Oliveira, Ricardo Blat, Tião D'Ávila, José Lewgoy, Luís Antônio Pilar, Nathália França, Lutz Dobbertin",6,634,NA,NA,NA,NA,3,3
tt0360556,"
3,601
","
7,467
",5,4.9,Fahrenheit 451,2018,"Drama, Sci-Fi, Thriller",100,USA,English,Ramin Bahrani,"Ray Bradbury, Ramin Bahrani",HBO Films,"Michael B. Jordan, Aaron Davis, Cindy Katz, Michael Shannon, Mayko Nguyen, Dylan Taylor, Saad Siddiqui, Katherine Cullen, Edsson Morales, Jordan Baker, Nathanial Buzzanga-Silveira, Charlotte Flint, Luke Flint, Malakai Fox, Marni Hogg",4.9,16882,NA,NA,NA,NA,206,74
tt0369610,"
75,939
","
225,456
",7.1,6.8,Jurassic World,2015,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver",Universal Pictures,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Jake Johnson, Omar Sy, BD Wong, Judy Greer, Lauren Lapkus, Brian Tee, Katie McGrath, Andy Buckley, Eric Edelstein",7,569512,$ 150000000,$ 652270625,$ 1670401444,59,1537,698
tt0385887,"
6,775
","
22,168
",6.8,6.8,Motherless Brooklyn - I segreti di una città,2019,"Crime, Drama, Mystery",144,USA,"English, French",Edward Norton,"Edward Norton, Jonathan Lethem",Warner Bros. Pictures,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Willem Dafoe, Bruce Willis, Ethan Suplee, Cherry Jones, Bobby Cannavale, Dallas Roberts, Josh Pais, Radu Spinghel, Fisher Stevens, Peter Gray Lewis, Robert Wisdom, Michael Kenneth Williams",6.8,34759,$ 26000000,$ 9277736,$ 18477736,60,319,178
tt0420293,"
6,182
","
17,136
",7,6.8,Effetto Lucifero,2015,"Biography, Drama, History",122,USA,English,Kyle Patrick Alvarez,"Tim Talbott, Philip Zimbardo",Coup d'Etat Films,"Billy Crudup, Michael Angarano, Moises Arias, Nicholas Braun, Gaius Charles, Keir Gilchrist, Ki Hong Lee, Thomas Mann, Ezra Miller, Logan Miller, Tye Sheridan, Johnny Simmons, James Wolk, Nelsan Ellis, Olivia Thirlby",6.9,35968,NA,$ 660561,$ 663114,67,98,88
tt0427543,"
492
","
974
",6.1,6.3,A Million Little Pieces,2018,Drama,113,USA,English,Sam Taylor-Johnson,"James Frey, Aaron Taylor-Johnson",Momentum Pictures,"Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi, Juliette Lewis, Dash Mihok, Charles Parnell, Ryan Hurst, David Dastmalchian, Tom Amandes, Charlie Hunnam, Andy Mackenzie, Eugene Byrd, Andy Buckley, Keith Barber",6.2,1551,NA,NA,$ 89825,45,36,23
tt0437086,"
25,390
","
94,492
",7.3,7.2,Alita - Angelo della battaglia,2019,"Action, Adventure, Sci-Fi",122,"USA, Japan, Canada","English, Spanish",Robert Rodriguez,"James Cameron, Laeta Kalogridis",Twentieth Century Fox,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez",7.3,217183,$ 170000000,$ 85710210,$ 404852543,53,2757,368
tt0441881,"
1,133
","
4,982
",6.9,6.7,La battaglia di Long Tan,2019,"Action, Drama, War",118,Australia,English,Kriv Stenders,"Stuart Beattie, James Nicholas",Deeper Water,"Travis Fimmel, Toby Blome, Alexander England, Aaron Glenane, Uli Latukefu, Richard Te Are, Luke Bracey, Sean McCarthy, Mojean Aria, Ryan Hance, Jordan Abbey-Young, James Storer, Ben Esler, Anthony Hayes, Richard Roxburgh",6.8,8131,AUD 24000000,NA,$ 2078370,NA,204,31
tt0448115,"
33,228
","
100,933
",7.2,6.9,Shazam!,2019,"Action, Adventure, Comedy",132,"USA, Canada","English, Spanish",David F. Sandberg,"Henry Gayden, Henry Gayden",Warner Bros.,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, Adam Brody, Djimon Hounsou, Faithe Herman, Meagan Good, Grace Fulton, Michelle Borth, Ian Chen, Ross Butler, Jovan Armand, D.J. Cotrona, Marta Milans",7.1,240858,$ 100000000,$ 140371656,$ 365971656,71,2009,379
tt0462335,"
4,479
","
21,046
",5.5,5.6,High-Rise: La rivolta,2015,"Drama, Sci-Fi",119,"UK, Ireland, Belgium",English,Ben Wheatley,"Amy Jump, J.G. Ballard",HanWay Films,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans, Elisabeth Moss, James Purefoy, Keeley Hawes, Peter Ferdinando, Sienna Guillory, Reece Shearsmith, Enzo Cilenti, Augustus Prew, Dan Renton Skinner, Stacy Martin, Tony Way",5.6,37069,NA,$ 346472,$ 4289074,65,188,336
tt0478970,"
69,087
","
216,696
",7.4,7.2,Ant-Man,2015,"Action, Adventure, Comedy",117,USA,English,Peyton Reed,"Edgar Wright, Joe Cornish",Gary Sanchez Productions,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Anthony Mackie, Judy Greer, Abby Ryder Fortson, Michael Peña, David Dastmalchian, T.I., Wood Harris, Hayley Atwell, John Slattery, Martin Donovan",7.3,553758,$ 130000000,$ 180202163,$ 519311965,64,726,585
tt0783640,"
1,850
","
3,725
",7.2,6.5,Era mio figlio,2019,"Drama, War",116,USA,English,Todd Robinson,Todd Robinson,Foresight Unlimited,"Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton, Bradley Whitford, William Hurt, Linus Roache, Jeremy Irvine, Eoin O'Brien, Christopher Plummer, Diane Ladd, Samuel L. Jackson, Jordan Preston Carter, Amy Madigan, Peter Fonda",6.7,5449,$ 20000000,$ 2949212,$ 3364426,51,163,44
tt0787524,"
4,089
","
25,638
",7.2,7.1,L'uomo che vide l'infinito,2015,"Biography, Drama",108,"UK, USA, Singapore, Hong Kong, United Arab Emirates","English, Tamil, Sanskrit",Matt Brown,"Matt Brown, Matt Brown",Edward R. Pressman Film,"Jeremy Irons, Dev Patel, Malcolm Sinclair, Raghuvir Joshi, Dhritiman Chatterjee, Stephen Fry, Arundathi Nag, Devika Bhise, Pádraic Delaney, Toby Jones, Jeremy Northam, San Shella, Richard Cunningham, Thomas Bewley, Anthony Calf",7.2,49520,$ 10000000,$ 3866794,$ 12252684,56,146,127
