id,us_votes,non_us_votes,us_rating,non_us_rating
tt0385887/,"
6,775
","
22,168
",6.8,6.8
tt0437086/,"
25,390
","
94,492
",7.3,7.2
tt0441881/,"
1,133
","
4,982
",6.9,6.7
tt0448115/,"
33,228
","
100,933
",7.2,6.9
tt0783640/,"
1,850
","
3,725
",7.2,6.5
tt0800325/,"
6,263
","
16,131
",6.9,6.9
tt0810836/,"
101
","
274
",5.0,5.3
tt0837563/,"
11,749
","
33,776
",5.7,5.6
tt0858419/,"
205
","
114
",5.7,5.4
tt0926132/,"
209
","
300
",4.7,3.6
tt0983946/,"
5,976
","
16,230
",4.9,4.9
tt10002654,"
27
","
100
",6.4,6.0
tt10003008,"
3,663
","
10,393
",5.9,5.6
tt10006006,"
663
","
2,174
",5.5,5.2
tt10006270,"
7
","
340
",4.7,4.8
tt10008784,"
1,090
","
1,411
",6.9,6.5
tt10009030,"
509
","
1,239
",6.3,5.6
tt10009434,"
21
","
40
",5.8,4.3
tt10011336,"
338
","
568
",6.7,6.2
tt10012964,"
12
","
129
",7.6,7.8
tt10015432,"
9
","
37
",8.9,7.2
tt10015812,"
17
","
60
",7.2,5.8
tt10016532,"
23
","
154
",6.4,6.4
tt10017680,"
53
","
291
",5.6,5.8
tt10017956,"
920
","
1,921
",7.5,6.7
tt10019402,"
23
","
110
",7.7,6.9
tt10022384,"
104
","
169
",5.8,5.2
tt10022990,"
18
","
82
",5.4,5.1
tt10023024,"
605
","
2,508
",4.4,4.7
tt10023080,"
12
","
57
",6.4,6.8
tt10034272,"
37
","
144
",7.4,7.8
tt10037700,"
4
","
11
",6.8,5.6
tt10039344,"
3,158
","
12,457
",5.4,5.3
tt10039468,"
15
","
133
",6.2,6.5
tt10044220,"
4
","
110
",6.8,7.2
tt10045434,"
24
","
545
",7.1,6.8
tt10046236,"
16
","
49
",4.6,3.8
tt10048556,"
83
","
81
",3.3,3.4
tt10049848,"
52
","
118
",3.0,2.7
tt10051586,"
36
","
178
",2.6,3.7
tt10052290,"
28
","
49
",5.7,6.0
tt10054876,"
29
","
154
",6.8,6.6
tt10055770,"
116
","
540
",7.0,6.9
tt10056510,"
8
","
69
",4.8,4.3
tt10059236,"
15
","
124
",3.6,4.8
tt10059518,"
7,370
","
22,619
",6.0,6.0
tt10060094,"
1,814
","
6,004
",5.7,5.4
tt10061256,"
24
","
152
",4.5,4.4
tt10062614,"
226
","
1,267
",5.4,5.3
tt10065976,"
20
","
155
",5.7,6.0
tt10066526,"
5
","
57
",7.3,7.0
tt10068158,"
48
","
182
",7.1,7.4
tt10068544,"
48
","
199
",7.6,7.8
tt10068916,"
186
","
798
",8.1,7.9
tt10069476,"
4
","
16
",5.3,3.1
tt10076106,"
53
","
217
",4.6,4.6
tt10076722,"
23
","
76
",5.2,5.4
tt10077998,"
117
","
472
",6.4,6.5
tt10080270,"
63
","
226
",6.0,5.5
tt10080924,"
94
","
247
",7.6,7.1
tt10080996,"
7
","
22
",5.4,5.0
tt10081202,"
29
","
108
",7.1,7.1
tt10081596,"
28
","
50
",2.4,3.8
tt10081762,"
166
","
1,989
",6.2,6.1
tt10084190,"
48
","
1,813
",6.8,5.8
tt10085338,"
288
","
548
",5.8,5.6
tt10086502,"
5
","
53
",7.5,5.5
tt10086834,"
30
","
34
",6.9,5.9
tt10087134,"
41
","
163
",4.9,4.5
tt10091530,"
306
","
902
",5.3,4.7
tt10091696,"
697
","
587
",5.1,4.9
tt10092752,"
261
","
1,142
",4.2,5.1
tt10096422,"
7
","
21
",6.6,8.5
tt10096424,"
8
","
131
",3.0,4.9
tt10097364,"
39
","
115
",6.3,6.3
tt10098494,"
22
","
156
",5.0,5.9
tt10100620,"
3
","
77
",5.0,4.9
tt10101774,"
72
","
44
",5.1,4.0
tt10101846,"
17
","
149
",6.8,6.6
tt10102350,"
78
","
555
",1.1,2.5
tt10107222,"
66
","
437
",6.2,6.6
tt10108544,"
157
","
149
",5.6,5.4
tt10109750,"
35
","
28
",3.1,3.0
tt10110872,"
26
","
53
",1.6,1.3
tt10111568,"
16
","
50
",6.1,6.4
tt10115562,"
137
","
970
",5.3,6.0
tt10115638,"
15
","
101
",5.0,5.6
tt10117768,"
117
","
504
",5.3,6.9
tt10121762,"
47
","
263
",6.9,6.8
tt10122038,"
13
","
54
",6.8,7.0
tt10122392,"
129
","
349
",6.9,6.9
tt10124714,"
14
","
133
",6.0,6.9
tt10125662,"
13
","
54
",2.8,3.0
tt10126136,"
172
","
2,142
",4.6,3.8
tt10126434,"
941
","
1,150
",5.9,5.5
