id,us_votes,non_us_votes,us_rating,non_us_rating
tt0097766/,"
59
","
97
",7.6,6.6
tt0100267/,"
18
","
117
",6.6,6.4
tt0101616/,"
247
","
1,590
",6.4,6.2
tt0105298/,"
61
","
200
",5.6,5.5
tt0106616/,"
6
","
75
",3.8,5.1
tt0107537/,"
108
","
121
",7.1,6.5
tt0107764/,"
160
","
132
",4.3,4.3
tt0108576/,"
86
","
65
",4.0,3.8
tt0109028/,"
325
","
892
",7.3,6.9
tt0109033/,"
60
","
67
",3.9,3.2
tt0109034/,"
543
","
833
",6.7,6.7
tt0109137/,"
12
","
142
",8.1,6.1
tt0109178/,"
172
","
378
",5.4,5.2
tt0109266/,"
214
","
156
",6.5,6.3
tt0109271/,"
96
","
122
",3.9,4.0
tt0109370/,"
5,967
","
5,975
",5.8,6.0
tt0109380/,"
55
","
765
",6.9,6.7
tt0109385/,"
15
","
106
",6.0,6.5
tt0109400/,"
111
","
104
",4.9,4.8
tt0109415/,"
1,986
","
3,258
",4.2,4.1
tt0109532/,"
73
","
86
",5.1,4.5
tt0109536/,"
198
","
103
",4.3,3.9
tt0109546/,"
120
","
149
",5.1,4.3
tt0109593/,"
474
","
1,009
",4.8,4.7
tt0109596/,"
123
","
286
",1.8,2.1
tt0109642/,"
10,683
","
17,813
",7.4,7.4
tt0109723/,"
1,953
","
2,362
",4.8,4.1
tt0109735/,"
32
","
152
",5.9,5.6
tt0109760/,"
168
","
298
",5.0,4.6
tt0109775/,"
107
","
105
",4.5,4.2
tt0109811/,"
135
","
156
",5.3,4.7
tt0109896/,"
9
","
244
",3.7,5.8
tt0109905/,"
69
","
300
",3.2,2.8
tt0109949/,"
274
","
715
",7.2,6.8
tt0109991/,"
61
","
83
",6.8,6.5
tt0110006/,"
13,463
","
4,956
",6.9,5.9
tt0110036/,"
53
","
778
",6.5,6.0
tt0110045/,"
15
","
82
",7.0,5.2
tt0110051/,"
36
","
67
",6.7,6.7
tt0110061/,"
60
","
99
",4.6,3.7
tt0110066/,"
2,897
","
1,190
",6.0,5.7
tt0110170/,"
8
","
85
",6.8,6.0
tt0110189/,"
1,307
","
528
",4.7,4.6
tt0110215/,"
152
","
164
",5.5,5.3
tt0110252/,"
63
","
53
",6.7,6.5
tt0110278/,"
56
","
392
",7.4,7.1
tt0110313/,"
121
","
158
",5.3,4.7
tt0110323/,"
6
","
87
",6.4,6.7
tt0110330/,"
30
","
190
",5.9,6.3
tt0110355/,"
14
","
101
",6.6,5.8
tt0110400/,"
301
","
135
",6.0,6.1
tt0110443/,"
10,306
","
11,634
",6.3,6.0
tt0110484/,"
12
","
200
",4.9,4.7
tt0110489/,"
41
","
117
",5.0,4.9
tt0110508/,"
77
","
201
",4.6,4.6
tt0110568/,"
17
","
139
",5.4,5.8
tt0110577/,"
39
","
84
",6.1,6.2
tt0110604/,"
1,066
","
2,899
",6.8,6.7
tt0110661/,"
8
","
130
",2.5,4.0
tt0110668/,"
485
","
691
",5.9,5.8
tt0110675/,"
270
","
347
",4.4,4.5
tt0110724/,"
74
","
9
",5.5,2.7
tt0110803/,"
201
","
340
",5.8,5.7
tt0110826/,"
33
","
57
",4.2,5.8
tt0110843/,"
131
","
77
",6.2,5.8
tt0110846/,"
187
","
164
",6.4,5.6
tt0110847/,"
65
","
140
",3.7,4.1
tt0110864/,"
9
","
82
",7.5,5.8
tt0110871/,"
18
","
125
",6.0,6.8
tt0110978/,"
7,055
","
7,761
",3.5,3.1
tt0110979/,"
191
","
308
",4.1,3.8
tt0111058/,"
27
","
279
",5.7,6.5
tt0111068/,"
241
","
1,670
",6.4,6.6
tt0111125/,"
239
","
385
",5.2,4.9
tt0111151/,"
148
","
299
",4.0,3.5
tt0111198/,"
20
","
81
",5.9,6.6
tt0111244/,"
367
","
410
",4.0,3.9
tt0111264/,"
550
","
334
",4.8,4.9
tt0111285/,"
30
","
110
",4.8,4.6
tt0111354/,"
27
","
58
",7.3,6.8
tt0111359/,"
1,898
","
697
",6.0,5.5
tt0111431/,"
360
","
59
",4.1,3.5
tt0111464/,"
178
","
264
",3.3,3.3
tt0111536/,"
15
","
108
",1.0,6.9
tt0111681/,"
77
","
97
",6.0,5.4
tt0111767/,"
77
","
382
",7.9,7.7
tt0111788/,"
24
","
74
",5.5,6.5
tt0112074/,"
65
","
18
",3.0,2.5
tt0112257/,"
354
","
399
",6.4,6.4
tt0112258/,"
28
","
659
",4.6,4.0
tt0112274/,"
3
","
126
",4.5,6.1
tt0112281/,"
37,887
","
98,392
",6.2,6.4
tt0112286/,"
92
","
107
",5.7,6.4
tt0112288/,"
2,069
","
4,949
",6.3,6.5
