id,us_votes,non_us_votes,us_rating,non_us_rating
tt0069049/,"
1,550
","
2,927
",6.9,6.6
tt0337926/,"
17
","
370
",6.3,5.9
tt0360556/,"
3,601
","
7,467
",5.0,4.9
tt0369610/,"
75,939
","
225,456
",7.1,6.8
tt0420293/,"
6,182
","
17,136
",7.0,6.8
tt0427543/,"
492
","
974
",6.1,6.3
tt0462335/,"
4,479
","
21,046
",5.5,5.6
tt0478970/,"
69,087
","
216,696
",7.4,7.2
tt0787524/,"
4,089
","
25,638
",7.2,7.1
tt0790770/,"
1,782
","
4,587
",6.5,6.3
tt0810819/,"
14,282
","
75,723
",6.8,7.0
tt0859635/,"
7,686
","
7,193
",6.2,5.8
tt0862930/,"
37
","
156
",5.9,6.6
tt0884732/,"
9,684
","
31,155
",6.5,6.6
tt0972544/,"
1,792
","
2,839
",6.3,6.6
tt1014763/,"
5,851
","
34,417
",6.4,6.4
tt10182822,"
279
","
2,793
",6.2,6.7
tt1018765/,"
3,642
","
9,720
",6.0,6.1
tt10197354,"
13
","
95
",6.8,8.4
tt10207850,"
116
","
85
",5.0,4.6
tt1029360/,"
9,258
","
23,727
",4.9,4.9
tt1034415/,"
9,430
","
27,750
",6.7,6.6
tt10411954,"
64
","
33
",5.8,4.9
tt10515340,"
795
","
2,099
",5.4,5.2
tt1051904/,"
12,002
","
34,141
",6.5,6.2
tt1072748/,"
5,448
","
12,652
",5.4,5.4
tt1083452/,"
7,922
","
42,424
",7.3,7.3
tt1105355/,"
344
","
363
",7.0,6.5
tt1127881/,"
129
","
638
",5.1,6.0
tt1135989/,"
493
","
1,833
",5.8,5.9
tt1137450/,"
10,283
","
29,796
",6.4,6.2
tt1137470/,"
1,211
","
4,069
",4.1,4.1
tt1167611/,"
148
","
2,023
",6.3,7.1
tt1172049/,"
7,982
","
44,874
",6.9,7.0
tt1178665/,"
4,348
","
12,445
",6.4,6.3
tt1213641/,"
20,730
","
76,405
",7.3,7.2
tt1220911/,"
55
","
644
",4.7,5.0
tt1226766/,"
793
","
1,968
",6.7,6.3
tt1226837/,"
7,840
","
22,918
",7.3,7.3
tt1230213/,"
1,127
","
2,678
",5.9,5.5
tt1235187/,"
511
","
1,264
",6.3,6.3
tt1236254/,"
95
","
105
",3.8,3.3
tt1239242/,"
187
","
346
",6.3,6.0
tt1243974/,"
9,194
","
28,057
",5.3,5.4
tt1254322/,"
504
","
1,852
",5.9,5.8
tt1255919/,"
5,429
","
12,852
",3.6,4.0
tt1259528/,"
12,545
","
42,666
",7.0,6.9
tt1270797/,"
41,787
","
145,329
",6.6,6.5
tt1273221/,"
746
","
3,360
",3.9,4.1
tt1285009/,"
5,607
","
10,252
",5.4,5.0
tt1289403/,"
5,092
","
16,181
",7.6,7.2
tt1291570/,"
4,475
","
29,737
",6.4,6.3
tt1301304/,"
88
","
40
",4.6,3.5
tt1308728/,"
5,986
","
8,981
",5.4,5.4
tt1318517/,"
1,986
","
9,057
",6.4,6.3
tt1321869/,"
520
","
1,541
",4.5,4.5
tt1322393/,"
254
","
140
",4.4,2.8
tt1340138/,"
29,992
","
119,153
",6.3,6.3
tt1355683/,"
22,777
","
75,265
",7.0,6.8
tt1365050/,"
9,358
","
35,536
",7.8,7.6
tt1365519/,"
20,357
","
85,787
",6.3,6.2
tt1369667/,"
53
","
845
",6.4,6.6
tt1379712/,"
75
","
56
",5.7,4.0
tt1382727/,"
18
","
245
",3.5,4.5
tt1389098/,"
291
","
611
",6.2,6.2
tt1390411/,"
12,635
","
59,168
",6.8,6.8
tt1392190/,"
98,158
","
344,772
",8.2,8.0
tt1398426/,"
28,656
","
71,944
",7.9,7.7
tt1413492/,"
9,055
","
29,822
",6.8,6.4
tt1458902/,"
160
","
242
",4.1,3.4
tt1460646/,"
71
","
125
",2.8,2.8
tt1464763/,"
4,542
","
14,974
",5.5,5.4
tt1477834/,"
44,243
","
138,250
",6.9,6.8
tt1490785/,"
1,732
","
2,468
",5.9,5.6
tt1502407/,"
22,963
","
46,148
",6.9,6.3
tt1502712/,"
20,334
","
61,742
",4.2,4.4
tt1512222/,"
117
","
174
",3.8,3.7
tt1517228/,"
51
","
85
",2.6,2.3
tt1517451/,"
41,125
","
130,268
",7.8,7.5
tt1517471/,"
399
","
762
",6.4,6.1
tt1519461/,"
1,953
","
6,436
",4.3,4.2
tt1524575/,"
3,236
","
9,429
",5.0,4.7
tt1524930/,"
15,729
","
43,068
",6.0,6.1
